"city","population","country","cca2","lat","lng","slug"
"Moscow",12737400,"Russia","RU",55.7522,37.6156,
"Paris",11346800,"France","FR",48.8534,2.3488,
"London",9840740,"United Kingdom","GB",51.5085,-0.12574,
"Madrid",6810530,"Spain","ES",40.4165,-3.70256,
"Barcelona",5733250,"Spain","ES",41.3888,2.15899,
"Saint Petersburg",5597340,"Russia","RU",59.9386,30.3141,
"Rome",4347100,"Italy","IT",41.8919,12.5113,
"Berlin",3580190,"Germany","DE",52.5244,13.4105,
"Milan",3167450,"Italy","IT",45.4643,9.18951,
"Athens",3155320,"Greece","GR",37.9795,23.7162,
"Lisbon",3028270,"Portugal","PT",38.7167,-9.13333,
"Manchester",2832580,"United Kingdom","GB",53.4809,-2.23743,
"Kyiv",2797553,"Ukraine","UA",50.4547,30.5238,
"Birmingham",2704620,"United Kingdom","GB",52.4814,-1.89983,
"Naples",2182170,"Italy","IT",40.8522,14.2681,
"Brussels",2141520,"Belgium","BE",50.8504,4.34878,
"Minsk",2070930,"Belarus","BY",53.9,27.5667,
"Vienna",2005500,"Austria","AT",48.2085,16.3721,
"Turin",1809850,"Italy","IT",45.0705,7.68682,
"Warsaw",1800230,"Poland","PL",52.2298,21.0118,
"Hamburg",1787710,"Germany","DE",53.5753,10.0153,
"Lyon",1787230,"France","FR",45.7485,4.84671,
"Budapest",1782240,"Hungary","HU",47.498,19.0399,
"Bucharest",1758700,"Romania","RO",44.4323,26.1063,
"Stockholm",1737760,"Sweden","SE",59.3326,18.0649,
"Glasgow",1718940,"United Kingdom","GB",55.8652,-4.25763,
"Novosibirsk",1706660,"Russia","RU",55.0415,82.9346,
"Marseille",1644610,"France","FR",43.297,5.38107,
"Munich",1590890,"Germany","DE",48.1374,11.5755,
"Yekaterinburg",1537000,"Russia","RU",56.8519,60.6122,
"Zurich",1455100,"Switzerland","CH",47.3667,8.55,
"Kharkiv",1415820,"Ukraine","UA",49.9808,36.2527,
"Belgrade",1412950,"Serbia","RS",44.804,20.4651,
"Copenhagen",1400740,"Denmark","DK",55.6759,12.5655,
"Helsinki",1354890,"Finland","FI",60.1695,24.9354,
"Porto",1334200,"Portugal","PT",41.1496,-8.61099,
